ID,Name,Type,Neighborhood,Story,Nudge,Vibe: Quiet,Vibe: Inside,Vibe: Active,Tags,Price Level,Has Embedding,Active,Created At,Availability
5,Mystery to Me,bookstore,Monroe Street,"An independent bookstore that actually feels independent. The staff recommendations are genuine (and weird in the right ways). The mystery section is deep, but don't sleep on their literary fiction picks.",Ask whoever's working what they just finished reading. Buy something you wouldn't have found on your own. Walk to Colectivo after.,0.8,0.9,0.3,"solo-friendly, unusual-options, outside-my-norm, creative",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""11:00"",""close"":""19:00""},""hours_verified"":false}"
172,Cask & Ale,brewery,Madison,"Top craft beer bar with extensive tap selection. Not a brewery, but the kind of beer bar that brewers visit to see their own beer poured correctly.",Ask for recommendations based on what you usually drink. The staff knows the list. Weeknight visit for conversation with the bartenders.,0.5,0.9,0.4,friend-hangout,2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
167,Delta Beer Lab,brewery,167 E. Badger Road,"Community destination brewery opened February 2019. Large taproom with steel-tip darts, shuffleboard, board games. Committed to social change, queer-owned. The kind of place that believes beer spaces should be inclusive, then builds the space to prove it.",Weekend afternoon for the games and crowd. Bring friends. The beer is good but the atmosphere is why you're here.,0.3,0.8,0.6,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
166,Giant Jones Brewing,brewery,"931 E. Main St, Suite 9","Only certified organic brewery in Wisconsin. Woman-owned by Jessica and Erika Jones, started 2018 producing organic ""big beers."" Taproom hours are limited (Wed-Thu 4-8pm, Fri-Sat 4-9pm) which means they're brewing when they're not pouring.","Friday evening. The organic commitment is real and tastes like it. Limited hours mean planning ahead, but worth it.",0.5,0.7,0.4,"friend-hangout, cheap-eats, outside-my-norm",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
163,Karben4 Brewing,brewery,3698 Kinsman Blvd,"Known for malt bombs and hop grenades. The Fantasy Factory IPA is their most famous, but they also brew Ale Asylum's iconic beers like Hopalicious and Ambergeddon after acquiring them in 2023. East side institution since 2012.",Taproom visit on a Saturday afternoon. Try a flight to figure out what you like. The outdoor space in summer is worth the trip alone.,0.4,0.7,0.5,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
170,New Glarus Brewing Company,brewery,New Glarus,"Independently owned craft brewery in New Glarus (south of Madison) whose products are only found in Wisconsin. Founded 1993. Spotted Cow farmhouse ale is the best-selling, $21M Bavarian-village-style facility offers free self-guided tours.","Worth the 30-minute drive. Do the self-guided tour first, then the tasting room. Buy a case to bring home—you can't get it anywhere else.",0.5,0.6,0.4,"friend-hangout, educational, outside-my-norm",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Retail store hours, no taproom""},""hours_verified"":false}"
164,One Barrel Brewing,brewery,2001 Atwood Ave,Sticks to their mantra of small handmade batches despite exponential growth since 2012. Atwood Avenue neighborhood brewery that still feels like a neighborhood brewery.,Weekend afternoon for the neighborhood vibe. Rotating taps mean you'll find something new each visit. Bring your own food or order delivery.,0.4,0.7,0.5,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
171,The Lone Girl Brewing Company,brewery,Madison,Community hub for craft beer enthusiasts. Dedication to quality ingredients and innovative brewing techniques without the pretension that usually comes with that description.,Rotating taps mean asking what's new. Evening crowd knows their beer—good place to learn if you're curious.,0.4,0.8,0.5,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
173,Tiny's Tap House,brewery,Madison,"Craft beer bar with curated tap selection appearing on multiple best-of lists. Tiny by name, comprehensive by nature.",Check the tap list online before going—it rotates frequently. Bar seating for the full experience. Bring patience on busy nights.,0.4,0.9,0.5,friend-hangout,2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
169,Vintage Brewing Company,brewery,2 locations,"Family-owned brewpub with ""elevated Americana"" cuisine and eclectic house-made brews. Two locations—west side and Capitol East. The Scaredy Cat oatmeal stout and Apple Brandy Barrel-Aged Dedication Dubbel show range.",Capitol East for supper club ambiance. West side for casual neighborhood feel. Food program is better than typical brewery food.,0.4,0.8,0.5,"friend-hangout, food-focused",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
165,Working Draft Beer Co.,brewery,1129 E Wilson St,"East side taproom with tasty drafts like Pulp Culture hazy IPA and Dad Bod oatmeal stout. The names tell you they don't take themselves too seriously, which makes the beer easier to enjoy.",Thursday evening. Try the seasonal rotation. The space is small—get there early if you want a table. Food trucks rotate through.,0.4,0.7,0.5,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
168,Young Blood Beer Co.,brewery,Multiple locations,"Bold beers, chill taprooms, good vibes. Multiple locations on King Street, Northstreet, and upcoming DeForest. Expansion done right—each location has its own character.",King Street location for downtown access. Northstreet for neighborhood feel. Check which has food trucks before you go.,0.4,0.7,0.5,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""15:00"",""close"":""22:00"",""notes"":""Weekend hours often extended, may close Mon-Tue""},""hours_verified"":false}"
121,Alice Good,café,Downtown Verona,Latinx and women-owned cafe in downtown Verona specializing in Colombian coffee sourced directly from Colombia. Worth the 20-minute drive from Madison if you care about where your coffee comes from and who's making it.,Weekend mornings. Order whatever single-origin they're featuring. Talk to the owners about the sourcing—they actually went to Colombia to establish relationships.,0.6,0.9,0.3,"solo-friendly, food-focused, cheap-eats, outside-my-norm",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
115,Ancora Coffee,café,Capitol Square,"On the Capitol Square since 1994, which is a lifetime in Madison coffee years. Long enough to have caffeinated multiple generations of state workers and students. Not chasing trends, which is exactly why the regulars keep coming back.","Weekday mornings for people-watching the Capitol crowd. Corner table by the windows. Bring a book, not your laptop.",0.5,0.9,0.3,"solo-friendly, food-focused, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
1,Bradbury's Coffee,café,Capitol Square,"Tucked into the capitol square's northwest corner, Bradbury's has that rare combination: excellent coffee, natural light, and tables spaced for actual solitude. The regulars read books here, not laptops.",Order the cortado. Sit at the window facing the square. Bring something to read that isn't on a screen.,0.7,0.9,0.3,"solo-friendly, food-focused, cheap-eats, free",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
120,Broken Board Coffee,café,Madison,"Independent shop that consistently lands on local top 10 lists without trying to be anything other than a good coffee shop. No concept, no theme, just quality beans and people who know how to pull shots.",Weekday afternoons when it's not packed. Ask what they're currently brewing for pour-over. They rotate through interesting roasters.,0.6,0.8,0.3,"solo-friendly, food-focused, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
112,Cafe Domestique,café,East side,"Bike-themed cafe sharing space with The Cargo Bike Shop. Owner spent 20 years in the bike industry and it shows—the crowd knows a derailleur from a dropout. Coffee from Intelligentsia, Ruby, Square Mile, and Onyx Coffee Lab rotates through.","If you ride, ride there. Lock up outside, order the espresso tonic in summer. The pre-ride crowd peaks around 8am on weekends.",0.5,0.7,0.5,"solo-friendly, food-focused, cheap-eats, friend-hangout",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
117,Cargo Coffee,café,750 E. Washington Ave,"Family-owned spot on East Washington that hosts recurring live music and open mics. The kind of neighborhood cafe that still believes coffee shops should be community gathering spaces, not remote offices.","Check their music schedule. Thursday open mic brings the east side's singer-songwriters. Coffee's solid, atmosphere is the real draw.",0.4,0.8,0.5,"solo-friendly, food-focused, cheap-eats, friend-hangout",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
108,Colectivo Coffee (Monroe Street),café,Monroe Street,"Part of the largest cafe union in the nation, but that's not why you go. The Monroe Street location occupies a repurposed garage with massive windows that flood the space with light. It's a chain, technically, but the neighborhood treats it like it isn't.",Weekday mornings before 10am. Grab the window counter facing Monroe if it's open. The breakfast burrito is better than it needs to be.,0.4,0.8,0.4,"solo-friendly, food-focused, cheap-eats, friend-hangout",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
8,Daisy Cafe & Cupcakery,café,Atwood,"Brunch with personality. The space is small and a little loud, which somehow makes it feel more alive. The cupcakes are what they're known for, but the savory menu is the real draw.",Weekday breakfast avoids the weekend wait. Get the Atwood scramble. Take a cupcake to go for later.,0.5,0.7,0.3,"food-focused, kid-friendly, friend-hangout, cheap-eats",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
110,EVP Coffee,café,Multiple locations,"Woman-owned since 1997, air-roasting beans daily in small batches. Over 25 years of not cutting corners. The spaces are bright and utilitarian—you're here for the coffee, not the Instagram.",Try the pour-over. They'll walk you through their current single origins without being precious about it. Early morning gets you the freshest roast.,0.6,0.8,0.3,"solo-friendly, food-focused, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
118,Fair Trade Coffee House,café,Near campus,"Near campus with a commitment to ethical sourcing that extends to housemade soups and panini. The kind of place where ""fair trade"" isn't marketing—it's in the name because it matters to them.",Lunch rush around noon serves the best soup rotation. Get it with a panini. The art on the walls rotates monthly and is actually worth looking at.,0.6,0.9,0.3,"solo-friendly, food-focused, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
119,Forward Craft and Coffee,café,Atwood Ave,Opened June 2022 with a concept that shouldn't work—specialty coffee and craft beers in the same space. Somehow it does. Atwood Avenue needed this kind of all-day versatility.,"Morning coffee, evening beer. The transition time around 4pm is when you see both crowds overlap and it gets interesting.",0.4,0.8,0.5,"solo-friendly, food-focused, cheap-eats, friend-hangout",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
114,Grace Coffee Co.,café,Multiple locations,"Six locations throughout Madison, roasting in-house daily. The East Washington spot has the kind of interior design that makes other coffee shops look like they're not trying. Local favorite that earned its ubiquity.","East Washington location for the space. Any location before 9am for the fresh roast. Skip the seasonal drinks, stick with their standard espresso.",0.5,0.8,0.4,"solo-friendly, food-focused, cheap-eats, friend-hangout",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
109,Johnson Public House (JPH),café,Tenney-Lapham,"Almost cult-like following among Tenney-Lapham residents for good reason. They rotate through Intelligentsia, their own roaster Kin Kin, and premium guests like Blueprint and Four Barrel. Ten years in, still the neighborhood's living room.",Sunday morning. Sit at the long communal table. Eavesdrop responsibly. The cortado is dialed in.,0.5,0.9,0.3,"solo-friendly, food-focused, cheap-eats, friend-hangout",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
116,Ledger Coffee Roasters,café,Garver Green,Local roaster with a taproom-style setup at Garver Green. The pairing with Level5 vegan donuts isn't a gimmick—the donut-to-coffee ratio is better thought out than most breakfast menus in the city.,Saturday morning at Garver. Get a pour-over and a donut. Walk the whole complex after. The courtyard seating beats most restaurants' patios.,0.5,0.7,0.4,"solo-friendly, food-focused, cheap-eats, friend-hangout",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
111,Leopold's Book Bar & Cafe,café,1301 Regent St,"Bookstore, bar, and coffee shop that commits fully to all three. The vintage Elektra espresso machine produces Italian-inspired drinks while craft cocktails happen at the other end of the bar. Books organized by country of origin, not genre—which tells you everything about the kind of place this is.",Night owl hours make it rare. Come late with a book you bought there. Order an Aperol spritz and a cortado. Rotate between them.,0.6,0.9,0.3,"solo-friendly, unusual-options, outside-my-norm, date-night",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
113,Wonderstate Coffee,café,Capitol Square,"Started in Viroqua, nationally recognized now with a Capitol Square presence. The 100% solar-powered roastery donates 5% of profits back to community initiatives. It's the kind of thing that could feel performative, except the espresso is exceptional.",Morning rush is real. Mid-afternoon on a weekday gets you actual conversation with the baristas who know what they're pouring.,0.5,0.9,0.4,"solo-friendly, food-focused, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""07:00"",""close"":""18:00""},""hours_verified"":false}"
2,Olbrich Botanical Gardens,garden,East Side,"The Thai Pavilion catches most visitors, but the real magic is the rock garden path in late afternoon light. It's designed for wandering without purpose—which is, of course, the purpose.",Enter through the back parking lot. Turn left immediately. Walk slowly. The bench by the pond is worth sitting on for ten minutes.,0.8,0.2,0.6,"nature, kid-friendly, free, outside-my-norm",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""limited"",""open"":""10:00"",""close"":""16:00"",""notes"":""Gardens free, Bolz Conservatory has fee/hours""},""hours_verified"":false}"
6,Garver Feed Mill,market,East Side,"A beautifully restored feed mill that now houses local food vendors and makers. Ian's Pizza, Underground Food Collective, Ledger Coffee. It's a destination that earns the walk.","Saturday morning is busy but worth it. Get coffee from Ledger, browse the Dane County Farmers' Market extension, then sit in the courtyard.",0.4,0.6,0.7,"food-focused, kid-friendly, friend-hangout, outside-my-norm",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""10:00"",""close"":""20:00"",""notes"":""Individual vendor hours vary""},""hours_verified"":false}"
7,Picnic Point,nature,UW Campus,A narrow peninsula stretching into Lake Mendota. The walk out and back is exactly long enough to process something you've been avoiding thinking about. Sunset from the point is Madison's best free show.,"Go alone. Leave your phone in your pocket until you reach the tip. On the way back, you'll know what you needed to figure out.",0.9,0,0.6,"nature, solo-friendly, free, kid-friendly",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""daylight"",""close"":""22:00"",""notes"":""Gates close at 10pm""},""hours_verified"":false}"
224,Alchemy,other,1980 Atwood Ave,"East side bar on Atwood with live music and menu better than average bar fare. Music schedule brings in good local acts, kitchen takes food seriously.","Check the music calendar. Dinner before or during the show. The food is genuinely good, not just ""good for a bar.""",0.4,0.9,0.5,"friend-hangout, food-focused",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard""},""hours_verified"":false}"
223,Cardinal Bar,other,Madison,"Late-night favorite open until 2am. Where the night goes after everywhere else closes. Not the first stop, definitely the last stop.",After midnight. When you're still out and everywhere else is closed. It's not pretty but it's open.,0.2,0.9,0.7,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
203,Caribou Tavern,other,703 E. Johnson St,Classic neighborhood bar in the same family's hands since the '70s. Famous for the 'Bou Burger—extra-large beef patty perfectly cooked with cheese and all the extras. The kind of place where regulars have their own spots.,"Go for the burger, stay for a second drink. Weeknight dinner avoids the rush. Sit at the bar if you're solo.",0.4,0.9,0.5,"friend-hangout, food-focused, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
225,Chief's Tavern,other,300 Cottage Grove Road,"Neighborhood tavern on Cottage Grove Road with live music, Buck's Pizza delivered to your table, pool table, darts. The kind of place that does multiple things without overthinking any of them.","Weekend nights for live music. Buck's Pizza is a feature, not a bug. Pool and darts when it's not crowded.",0.3,0.9,0.6,"friend-hangout, food-focused, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
229,Come Back In,other,Downtown,Downtown cornerstone that's lasted in Madison's eclectic neighborhoods by being exactly what it is. Well-regarded without being self-conscious about it.,"Evening after work. Not a destination, a reliable stop. The name is both literal and aspirational.",0.4,0.9,0.5,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard""},""hours_verified"":false}"
205,Crystal Corner Bar,other,East side,"Hasn't tried to reinvent itself in decades because it doesn't need to. Pool tables, jukebox, neon lighting, friendly bartender who lives above the bar. East side institution that survived gentrification by ignoring it.","Cash works better than cards. Play pool, feed the jukebox, don't expect craft cocktails. Thursday nights for the local crowd.",0.3,0.9,0.5,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
226,Echo Tap & Grill,other,Near Kohl Center,"Madison's neighborhood tavern near Kohl Center and UW. The kind of place that earns ""neighborhood tavern"" as a descriptor without needing to explain why.","Weeknight for actual neighborhood feel. Game nights bring the crowds. Food is solid, beer is cold, TVs work.",0.4,0.9,0.5,"friend-hangout, food-focused",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
215,Erin's Snug Irish Pub,other,Downtown,"Full-service Irish pub among the best in Wisconsin. Authentic Irish and traditional American fare, the kind of place that doesn't coast on ""Irish pub"" aesthetic.",Weekend brunch or weeknight dinner. The Irish breakfast is real. Guinness poured with the proper two-part pour.,0.5,0.9,0.4,"friend-hangout, food-focused, date-night",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
202,Genna's Lounge,other,Downtown,"Beloved downtown institution that's divey without being dirty. Stays open until 2am, serves the cheapest happy hour in town with free chips, salsa, and meatballs. Nightly events including trivia and karaoke keep it packed.",Happy hour for the free food and cheap drinks. Late night when everything else closes. Karaoke if you're brave or drunk enough.,0.3,0.9,0.6,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
209,Harmony Bar & Grill,other,2201 Atwood Ave,"Live music venue on Atwood with burgers a step above average bar fare. The vegetarian walnut burger is genuinely good, not just ""good for a veggie burger."" Music schedule brings in solid local and touring acts.","Check the music calendar before going. Dinner before the show. The walnut burger if you're vegetarian, regular burger if you're not.",0.3,0.9,0.6,"friend-hangout, food-focused",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
220,High Noon Saloon,other,Madison,Music venue and late-night bar with intimate setting featuring upstairs and downstairs seating. Local and touring acts in a room small enough to actually see the band.,"Check the music calendar. Get there early for good spots. Bar stays open late after shows. Sound is good, sightlines are good, space is right.",0.3,0.9,0.7,"friend-hangout, outside-my-norm",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard""},""hours_verified"":false}"
217,Jordan's Big Ten Pub,other,1330 Regent St,"Huge gameday sports bar on Regent Street entertaining 1,500+ fans during football games. Largest outdoor beer garden on the strip. Gameday institution, ghost town otherwise.","Badgers football only. Beer garden when weather allows. Arrive early, leave late, expect crowds.",0.2,0.6,0.8,"friend-hangout, food-focused",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
211,Kollege Klub (KK),other,State Street,"Iconic college bar since 1953 with dim lighting, loud DJ, sticky floors, and legendary cheese curds. The kind of place you either age out of or keep going to ironically.",Thursday through Saturday nights. Cheese curds are mandatory. Dance floor if you're committed. Leave your nice shoes at home.,0.2,0.9,0.8,"friend-hangout, cheap-eats",1,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard""},""hours_verified"":false}"
204,Laurel Tavern,other,2505 Monroe St,"Authentic Wisconsin neighborhood tavern on Monroe Street since 1969. Famous Friday fish fry with walleye that's worth the wait, Saturday prime rib. Popular with Edgewood and West High alums who never really left the neighborhood.","Friday fish fry—get there early or make a reservation. The Laurel burger any other night. Sit in the dining room, not the bar, if you want conversation.",0.4,0.9,0.5,"friend-hangout, food-focused",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
200,Le Tigre Lounge,other,West side strip mall,"Tucked beneath the Highway 14 overpass in a strip mall, this 60-year-old family-run lounge hasn't changed since Mad Men days and doesn't want to. Every surface covered in tiger decor, no TVs, strict no-swearing policy enforced by owners who still tend bar.","Only open Thursday through Saturday. Order the ice-cold martini—they're experts. The jukebox is vinyl records. Don't swear, seriously.",0.7,0.9,0.3,"friend-hangout, date-night, outside-my-norm",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
